PROD TYPE,NAME,SHIPPED_DATE,Total Orders,Total Pallets,Distance,Cost
AMBCONTROL,POUNDLAND DC,08-03-2024,2,15,175.3,643.7
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,08-03-2024,2,6,119.6,221.2
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,08-03-2024,2,11,219.2,443.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),08-03-2024,15,67,29.8,1168.1
AMBIENT,BOOTS COMPANY PLC (SSC),08-03-2024,11,17,29.8,404.5
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,08-03-2024,1,4,97.7,114.1
AMBCONTROL,WAITROSE LTD (134244),08-03-2024,1,3,168.3,110.6
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),08-03-2024,1,1,240.7,57.6
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),08-03-2024,1,4,99.1,110.5
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),08-03-2024,1,21,107.4,517.2
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,08-03-2024,1,1,208.6,52.7
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,08-03-2024,1,12,73.6,261.9
AMBCONTROL,OCADO LTD (CFC ANDOVER),08-03-2024,1,1,267,70.6
AMBCONTROL,OCADO LTD (CFC ERITH),08-03-2024,1,1,268.2,66.1
AMBCONTROL,OCADO BICESTER,08-03-2024,1,1,171.8,51.2
AMBCONTROL,OCADO CFC2,08-03-2024,1,1,77.4,40.1
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,08-03-2024,1,21,133.2,594
AMBCONTROL,AAH PHARMA (WARRINGTON),08-03-2024,1,4,113.6,142.1
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),08-03-2024,1,3,82.5,71.7
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,10-03-2024,1,1,208.6,52.7
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,10-03-2024,1,9,222.9,383.1
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,10-03-2024,1,2,440.3,180.5
AMBCONTROL,AAH PHARMA (PERRY BARR),10-03-2024,1,2,97.6,64
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),10-03-2024,1,2,142.1,86.7
AMBCONTROL,AAH PHARMA (SOUTHAMPTON),10-03-2024,1,1,308.1,69.8
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,11-03-2024,2,6,58.3,167.9
AMBCONTROL,Frances Trowbridge,11-03-2024,1,1,69.2,32.1
AMBIENT,ALLOGA UK,11-03-2024,1,11,12.2,159.6
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,11-03-2024,1,23,141.3,752.4
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,11-03-2024,2,4,219.2,181.7
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUITO,11-03-2024,2,8,91.3,198
AMBCONTROL,ALLOGA UK,11-03-2024,1,1,12.2,31.4
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,11-03-2024,1,10,239.5,480.7
AMBIENT,ASDA,11-03-2024,1,5,93.7,98.7
AMBCONTROL,ASDA,11-03-2024,2,6,93.7,143.5
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),11-03-2024,1,1,215.2,52.6
AMBCONTROL,AAH PHARMA (LEEDS),11-03-2024,1,3,96,86.9
AMBCONTROL,AAH PHARMA (ROMFORD PPP0997Q),11-03-2024,1,3,252.9,156.9
AMBIENT,SUPERDRUG STORES PLC WEBSITE,11-03-2024,1,1,74.3,34.3
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,11-03-2024,1,6,91.3,140.5
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),11-03-2024,1,7,107.4,187.4
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,11-03-2024,1,11,133.2,326.3
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,11-03-2024,1,2,444.3,170.2
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,11-03-2024,1,3,262.2,158.2
AMBCONTROL,BESTWAY PHARMACY NDC LTD,12-03-2024,2,4,69.1,114.2
AMBCONTROL,B & M RETAIL LTD,12-03-2024,2,2,145.5,98.9
AMBIENT,BOOTS COMPANY PLC (SSC),12-03-2024,7,35,29.8,506.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),12-03-2024,6,22,29.8,425.6
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,12-03-2024,1,5,74.3,119.7
AMBCONTROL,T J MORRIS LTD (SOLSTICE BUS.,12-03-2024,1,22,275.3,1159
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,12-03-2024,1,3,1.6,60.5
AMBCONTROL,TESCO (BOLTON 510),12-03-2024,1,7,117.8,228
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,12-03-2024,1,1,124.8,40.7
AMBCONTROL,AMAZON DEESIDE XLP1,12-03-2024,1,1,144.3,51.2
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,12-03-2024,1,5,78.9,118.5
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,12-03-2024,2,6,90.8,175.9
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,12-03-2024,1,12,185.1,437.4
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,12-03-2024,1,3,185.1,106.9
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,12-03-2024,1,6,185.1,226.6
AMBCONTROL,AAH PHARMA (GLASGOW),12-03-2024,1,1,451.8,98.2
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),12-03-2024,1,22,107.4,528.3
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,12-03-2024,1,2,119.6,79.1
AMBCONTROL,INSPIRA TRADING LIMITED,12-03-2024,1,2,182.1,91.2
AMBCONTROL,GR & MM BLACKLEDGE PLC,12-03-2024,2,2,134.5,102.8
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,12-03-2024,1,3,188,128.8
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,12-03-2024,1,1,268.8,64
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,12-03-2024,1,17,222.9,709.7
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,12-03-2024,1,17,133.2,495.5
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,12-03-2024,1,1,384.3,86.6
AMBIENT,ANDREW WORMALD,12-03-2024,1,3,253.5,127.1
AMBIENT,B & M RETAIL LTD,13-03-2024,3,6,140.6,220
AMBCONTROL,B & M RETAIL LTD,13-03-2024,1,3,130.9,121.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),13-03-2024,7,32,29.8,583.6
AMBCONTROL,SAVERS,13-03-2024,1,7,203.7,277.5
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,13-03-2024,1,3,185.1,121.3
AMBCONTROL,BESTWAY PHARMACY NDC LTD,13-03-2024,3,19,69.1,437.4
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,13-03-2024,1,23,29.8,327.8
AMBCONTROL,ALLOGA UK,13-03-2024,1,7,12.2,120.3
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),13-03-2024,1,25,107.4,527.9
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,13-03-2024,2,2,208.6,105.4
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,13-03-2024,1,5,239.5,248.3
AMBCONTROL,AMAZON EU S.A.R.L,13-03-2024,1,1,185.1,51.2
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),13-03-2024,1,2,303.4,152.1
AMBIENT,BOOTS COMPANY PLC (SSC),13-03-2024,2,2,29.8,59.4
AMBCONTROL,AAH PHARMA (BRISTOL),13-03-2024,1,2,254.4,110.9
AMBCONTROL,PRIMA BRANDS LTD,13-03-2024,1,1,533.4,155.7
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,13-03-2024,1,3,268.6,163.5
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),13-03-2024,1,1,267.8,65.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),14-03-2024,2,17,29.8,285.2
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,14-03-2024,1,19,74.3,410.2
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,14-03-2024,1,1,124.8,40.7
AMBCONTROL,AMAZON DEESIDE XLP1,14-03-2024,1,2,144.3,86.2
AMBCONTROL,ASDA,14-03-2024,3,18,93.7,382
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,14-03-2024,1,5,97.7,138.5
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,14-03-2024,1,1,318.6,77.6
AMBCONTROL,AAH PHARMA (RUISLIP),14-03-2024,1,2,232.1,95.3
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),14-03-2024,2,52,107.4,1156.1
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,14-03-2024,1,15,239.5,713.2
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,14-03-2024,1,9,73.6,200.4
AMBCONTROL,PRIMA BRANDS LTD,14-03-2024,4,25,533.4,3892.6
AMBIENT,BOOTS COMPANY PLC (SSC),14-03-2024,3,3,29.8,89.1
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,14-03-2024,3,23,133.2,682.6
AMBIENT,SUPERDRUG STORES PLC WEBSITE,14-03-2024,1,7,74.3,142.1
AMBCONTROL,SAVERS,14-03-2024,1,2,203.7,90.9
AMBIENT,SAVERS,14-03-2024,1,1,203.7,47.8
AMBCONTROL,AAH PHARMA (WARRINGTON),14-03-2024,2,6,113.6,221.3
AMBCONTROL,OCADO LUTON,14-03-2024,1,1,187.9,51.2
AMBCONTROL,OCADO LTD (CFC ANDOVER),14-03-2024,1,1,267,70.6
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),14-03-2024,1,1,99.1,39.8
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,15-03-2024,2,8,58.3,213.2
AMBIENT,BOOTS COMPANY PLC (SSC),15-03-2024,8,11,29.8,276.5
AMBCONTROL,WAITROSE LTD (134244),15-03-2024,1,3,168.3,110.6
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,15-03-2024,1,17,141.3,614.3
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,15-03-2024,1,2,185.1,86.2
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,15-03-2024,1,4,185.1,137.1
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),15-03-2024,1,21,107.4,517.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),15-03-2024,11,18,29.8,449
AMBCONTROL,PRIMA BRANDS LTD,15-03-2024,1,2,533.4,311.4
AMBCONTROL,OCADO CFC2,15-03-2024,1,1,77.4,40.1
AMBCONTROL,OCADO BICESTER,15-03-2024,1,1,171.8,51.2
AMBCONTROL,OCADO LTD (CFC ERITH),15-03-2024,1,1,268.2,66.1
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,15-03-2024,1,3,91.3,78.3
AMBCONTROL,PRECISION MARKETING GROUP LTD,15-03-2024,1,1,215.9,66.5
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,15-03-2024,1,3,119.6,110.6
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),15-03-2024,1,2,82.5,53.2
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,15-03-2024,1,1,440.3,98.2
AMBIENT,JAMES FERGUS,15-03-2024,1,1,237.3,51.6
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,17-03-2024,1,4,219.2,165.6
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,17-03-2024,1,12,239.5,573.7
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),17-03-2024,1,1,215.2,52.6
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,18-03-2024,1,9,185.1,287.9
AMBIENT,AMAZON TORONTO WAY DON LBA4,18-03-2024,1,1,58.3,35.9
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,18-03-2024,1,5,58.3,129.3
AMBCONTROL,AAH PHARMA (PERRY BARR),18-03-2024,1,3,97.6,87.9
AMBCONTROL,SAVERS,18-03-2024,1,1,203.7,53.7
AMBCONTROL,BESTWAY PHARMACY NDC LTD,18-03-2024,2,8,69.1,196
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,18-03-2024,1,6,74.3,140.5
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,18-03-2024,2,2,208.6,105.4
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,18-03-2024,1,6,222.9,260.7
AMBCONTROL,ASDA,18-03-2024,3,10,93.7,233.7
AMBIENT,SUPERDRUG STORES PLC WEBSITE,18-03-2024,1,22,74.3,393
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),18-03-2024,1,1,142.1,51.4
AMBIENT,CHRIS LILLIE,18-03-2024,1,1,32.8,29.7
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,18-03-2024,1,3,90.8,87.9
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,18-03-2024,1,1,444.3,93.1
AMBIENT,JAMES FERGUS,18-03-2024,1,1,237.3,51.6
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,19-03-2024,1,1,51,31.2
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,19-03-2024,1,20,141.3,719.7
AMBCONTROL,ALLOGA UK,19-03-2024,1,15,12.2,239
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,19-03-2024,1,1,185.1,51.2
AMBCONTROL,POUNDLAND DC,19-03-2024,1,8,100.3,207.9
AMBCONTROL,GR & MM BLACKLEDGE PLC,19-03-2024,2,2,134.5,102.8
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,19-03-2024,1,1,124.8,40.7
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,19-03-2024,1,6,78.9,139
AMBIENT,PAUL HATTON,19-03-2024,1,1,414,120.3
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),19-03-2024,1,21,107.4,517.2
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,19-03-2024,1,15,73.6,323.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),19-03-2024,6,7,29.8,203.2
AMBIENT,BOOTS COMPANY PLC (SSC),19-03-2024,4,4,29.8,118.8
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,19-03-2024,1,1,262.2,63.4
AMBIENT,KWAN CHAN,19-03-2024,1,1,130.9,47.5
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,19-03-2024,1,1,384.3,86.6
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,19-03-2024,1,1,188,53.6
AMBCONTROL,AAH PHARMA (GLASGOW),19-03-2024,1,1,451.8,98.2
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,19-03-2024,1,1,268.8,64
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,20-03-2024,1,1,51,31.2
AMBCONTROL,T J MORRIS LTD (SOLSTICE BUS.,20-03-2024,1,24,275.3,1158.1
AMBIENT,PHOENIX HEALTHCARE DISTRIBUITO,20-03-2024,1,1,91.3,34.3
AMBCONTROL,TESCO (BOLTON 510),20-03-2024,1,9,117.8,288.6
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,20-03-2024,1,10,29.8,164.8
AMBCONTROL,POUNDLAND DC,20-03-2024,1,5,123.3,182.2
AMBCONTROL,BETH GARSIDE,20-03-2024,1,2,69.2,47.5
AMBIENT,BOOTS COMPANY PLC (SSC),20-03-2024,4,5,29.8,131.8
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),20-03-2024,2,48,107.4,1056
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,20-03-2024,1,1,208.6,52.7
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,20-03-2024,2,19,239.5,914.9
AMBCONTROL,AMAZON.CO.UK LTD (BHX3 DAVENTR,20-03-2024,1,1,124.8,44.3
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,20-03-2024,1,1,124.8,40.7
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,20-03-2024,1,13,222.9,546.4
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,20-03-2024,3,40,133.2,1033.5
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,20-03-2024,4,38,185.1,1398.2
AMBIENT,FAO LONDON MARATHON TEAM,20-03-2024,1,1,260.9,63.4
AMBCONTROL,SAVERS,20-03-2024,2,3,203.7,144.6
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,20-03-2024,1,1,318.6,77.6
AMBCONTROL,INSPIRA TRADING LIMITED,20-03-2024,1,2,182.1,91.2
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),20-03-2024,1,1,303.4,84
AMBIENT,Precision Marketing Group,20-03-2024,1,2,215.9,103
AMBCONTROL,BOOTS COMPANY PLC (SSC),20-03-2024,2,2,29.8,62.8
AMBIENT,JAMES FERGUS,20-03-2024,1,1,237.3,51.6
AMBCONTROL,AAH PHARMA (BRISTOL),20-03-2024,1,2,254.4,110.9
AMBCONTROL,AAH PHARMA (SWANSEA VALE),20-03-2024,1,1,297.2,84
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),20-03-2024,1,2,267.8,114.3
AMBIENT,B & M RETAIL LTD,21-03-2024,3,5,150.4,188.9
AMBCONTROL,AAH PHARMA (PERRY BARR),21-03-2024,1,1,97.6,40.1
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,21-03-2024,1,4,185.1,137.1
AMBIENT,BOOTS COMPANY PLC (SSC),21-03-2024,6,8,29.8,204.1
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,21-03-2024,1,3,219.2,128.2
AMBCONTROL,ASDA,21-03-2024,5,23,93.7,506.9
AMBIENT,ASDA,21-03-2024,1,1,93.7,33.1
AMBCONTROL,PRIMA BRANDS LTD,21-03-2024,2,4,533.4,622.8
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,21-03-2024,1,7,97.7,187.4
AMBCONTROL,UNITED DRUG DISTRIBUTORS IRELA,21-03-2024,1,32,414,4148.3
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,21-03-2024,1,13,133.2,382.6
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),21-03-2024,2,45,107.4,1033.1
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,21-03-2024,2,2,208.6,105.4
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,21-03-2024,1,8,222.9,342.3
AMBCONTROL,B & M RETAIL LTD,21-03-2024,1,2,160.1,79.1
AMBCONTROL,AAH PHARMA (RUISLIP),21-03-2024,1,2,232.1,95.3
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,21-03-2024,1,13,185.1,472.4
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,21-03-2024,1,2,185.1,76.7
AMBCONTROL,LEXON,21-03-2024,1,1,124,40.1
AMBCONTROL,AAH PHARMA (WARRINGTON),21-03-2024,1,4,113.6,142.1
AMBIENT,BOYD GOLDIE,21-03-2024,1,1,230.8,51.4
AMBCONTROL,BOOTS COMPANY PLC (SSC),21-03-2024,2,3,29.8,77.6
AMBCONTROL,OCADO LTD (CFC ERITH),21-03-2024,1,1,268.2,66.1
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),21-03-2024,1,1,99.1,39.8
AMBIENT,VALLEY SUNDRIES COMPANY T/A VA,22-03-2024,1,1,265.7,59.3
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),22-03-2024,1,1,240.7,57.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),22-03-2024,10,42,29.8,714.1
AMBCONTROL,PRIMA BRANDS LTD,22-03-2024,2,4,533.4,622.8
AMBCONTROL,WAITROSE LTD (134244),22-03-2024,1,5,168.3,173.6
AMBCONTROL,INSPIRA TRADING LIMITED,22-03-2024,1,1,182.1,53.6
AMBIENT,BOOTS COMPANY PLC (SSC),22-03-2024,6,8,29.8,204.1
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),22-03-2024,1,1,82.5,34.7
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,22-03-2024,1,17,133.2,495.5
AMBCONTROL,TESCO (BOLTON 510),24-03-2024,1,4,117.8,137.1
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,24-03-2024,1,7,74.3,161.2
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,24-03-2024,1,13,239.5,620.1
AMBIENT,SAVERS,24-03-2024,1,3,203.7,110.6
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,24-03-2024,1,4,440.3,345.1
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,24-03-2024,1,9,222.9,383.1
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),24-03-2024,1,2,142.1,86.7
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,24-03-2024,1,2,444.3,170.2
AMBCONTROL,AAH PHARMA (PERRY BARR),25-03-2024,2,5,97.6,152
AMBCONTROL,AMAZON FRESH MILTON KEYNES ALT,25-03-2024,1,1,159,47.6
AMBCONTROL,BESTWAY PHARMACY NDC LTD,25-03-2024,1,3,69.1,77.6
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,25-03-2024,1,3,185.1,121.3
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,25-03-2024,1,3,1.6,60.5
AMBIENT,RAYBURN TRADING LTD,25-03-2024,1,2,95.9,62.1
AMBIENT,COSTCO WHOLESALE UK LTD,25-03-2024,1,2,234.4,86.3
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),25-03-2024,1,21,107.4,517.2
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,25-03-2024,1,9,185.1,287.9
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),25-03-2024,1,1,215.2,52.6
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,25-03-2024,1,11,73.6,241.4
AMBCONTROL,PRIMA BRANDS LTD,25-03-2024,1,10,533.4,1557
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,25-03-2024,1,14,133.2,410.9
AMBCONTROL,ASDA,25-03-2024,2,3,93.7,87.9
AMBIENT,ASDA,25-03-2024,1,4,93.7,82.3
AMBCONTROL,AAH PHARMA (SOUTHAMPTON),25-03-2024,1,8,308.1,446.8
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,25-03-2024,1,1,208.6,52.7
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,25-03-2024,1,2,262.2,110.8
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,26-03-2024,1,2,51,45.9
AMBCONTROL,BOOTS COMPANY PLC (SSC),26-03-2024,5,25,29.8,453.4
AMBCONTROL,AAH PHARMA (ROMFORD PPP0997Q),26-03-2024,1,2,252.9,109.9
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,26-03-2024,1,16,29.8,253.8
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,26-03-2024,2,4,91.3,115.2
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,26-03-2024,1,2,124.8,65
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),26-03-2024,2,39,107.4,973.5
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,26-03-2024,1,1,78.9,36.6
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,26-03-2024,1,1,188,53.6
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,26-03-2024,1,8,73.6,179.9
AMBIENT,BOOTS COMPANY PLC (SSC),26-03-2024,3,3,29.8,89.1
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,26-03-2024,1,6,222.9,260.7
AMBCONTROL,PRIMA BRANDS LTD,26-03-2024,4,7,533.4,1089.9
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUITO,26-03-2024,2,9,91.3,218.7
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,26-03-2024,1,1,384.3,86.6
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,26-03-2024,1,1,268.8,64
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),26-03-2024,1,1,303.4,84
AMBCONTROL,AAH PHARMA (GLASGOW),26-03-2024,1,1,451.8,98.2
AMBIENT,ELDOKEN SUPPLIES LTD,27-03-2024,1,1,237.4,50.4
AMBIENT,BOOTS COMPANY PLC (SSC),27-03-2024,8,12,29.8,289.5
AMBIENT,SUPERDRUG STORES PLC WEBSITE,27-03-2024,1,12,74.3,231.9
AMBCONTROL,CONOR GODSALL,27-03-2024,1,1,253.5,59
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,27-03-2024,1,10,133.2,298
AMBCONTROL,BOOTS COMPANY PLC (SSC),27-03-2024,6,9,29.8,232.9
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,27-03-2024,1,2,208.6,89.3
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,27-03-2024,2,28,239.5,1333.3
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,27-03-2024,1,3,185.1,106.9
AMBIENT,KWAN CHAN C/O RECEPTION,27-03-2024,1,1,130.9,47.5
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,27-03-2024,1,1,185.1,51.2
AMBCONTROL,INSPIRA TRADING LIMITED,27-03-2024,2,4,182.1,182.4
AMBCONTROL,EMILY DIXON,27-03-2024,1,1,211.4,52.6
AMBCONTROL,OCADO LTD (CFC ANDOVER),27-03-2024,1,1,267,70.6
AMBCONTROL,OCADO LTD (CFC ERITH),27-03-2024,1,1,268.2,66.1
AMBCONTROL,AAH PHARMA (BRISTOL),27-03-2024,1,3,254.4,158.3
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),27-03-2024,1,2,267.8,114.3
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,28-03-2024,1,1,124.8,40.7
AMBCONTROL,AMAZON.CO.UK LTD (BHX3 DAVENTR,28-03-2024,1,1,124.8,44.3
AMBCONTROL,AMAZON FRESH MILTON KEYNES ALT,28-03-2024,1,1,159,47.6
AMBIENT,ASDA,28-03-2024,1,5,93.7,98.7
AMBCONTROL,ASDA,28-03-2024,3,13,93.7,289.3
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,28-03-2024,2,6,97.7,179.3
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,28-03-2024,1,1,318.6,77.6
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,28-03-2024,2,35,133.2,1019.3
AMBCONTROL,BOOTS COMPANY PLC (SSC),28-03-2024,4,30,29.8,511.2
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,28-03-2024,1,4,185.1,137.1
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),28-03-2024,2,43,107.4,1008.6
AMBIENT,TESCO GROCERY DIST'N CENTRE (R,28-03-2024,1,5,239.5,215.5
AMBCONTROL,SAVERS,28-03-2024,2,2,203.7,107.3
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,28-03-2024,1,2,1.6,45.9
AMBCONTROL,OCADO CFC2,28-03-2024,1,1,77.4,40.1
AMBCONTROL,AAH PHARMA (RUISLIP),28-03-2024,1,4,232.1,174.5
